one,一,eins,
breath,息,Atem,
fear (v.),恐,Bammel haben,
feel (v.),感,fühlen,
regret (n.),憾,Bedauern,bedauern
worried,憂,besorgt,
dread (v.),怕,fürchten,
busy (adj.),忙,beschäftigt,
accustomed to,慣,gewöhnt sein an,
cherish,懷,hegen,
certainly,必,unbedingt,bestimmt
hand,手,Hand,
look at,看,schauen,
hold (v.),拿,halten,
I,我,ich,
righteousness,義,Gerechtigkeit,Rechtschaffenheit
deliberate (v.),議,Meinungen austauschen,
ant,蟻,Ameise,
embrace,抱,in den Armen halten,
combat,抗,bekämpfen,
criticize,批,kritisieren,
beckon,招,herbeiwinken,
strike (v.),打,schlagen,
finger (n.),指,Finger,
support (v.),持,an etw. festhalten,
include,括,beinhalten,
bring up,提,erwähnen,
brandish,揮,schwingen,
push,推,schieben,
welcome (v.),接,empfangen,
hang,掛,aufhängen,
press down on,按,herabdrücken,
drop (v.),掉,herunterfallen,
pull,拉,ziehen,
!!,啦,!!!,
look for,找,suchen,ausfindig machen
grind away (v.),研,zermahlen,zerreiben
play with,弄,herumspielen mit,
nose,鼻,Nase,
punishment,刑,Strafe,
mold (v.),型,Gussform,Typ
genius,才,Genie,
riches,財,Reichtum,
deposit (v.),存,hinterlegen,
at,在,sich befinden,
only then,乃,erst dann,
milk (n.),奶,Milch,
catch up with,及,gleichkommen,
inhale,吸,einatmen,
history,史,Geschichte,
even more,更,noch mehr,
hard,硬,hart,
again,又,wieder,
friend,友,Freund,
pair,雙,Paar,
one of a pair,隻,einer von zweien,
protect,護,beschützen,
seize,獲,erbeuten,erlangen
observe,觀,beobachten,
joyous,歡,froh,
throw (v.),投,werfen,
not have,沒,nicht haben,
establish (v.),設,gründen,
thigh,股,Oberschenkel,
offshoot,支,Abzweigung,
skill,技,Technik,
branch,枝,Ast,
uncle,叔,Onkel,
superintend,督,beaufsichtigen,
lonely,寂,einsam,
against,反,anti-,
plank,板,Brett,
go back,返,zurückkommen,
faction,派,Fraktion,
blood vessels,脈,Blutgefäß,
claw (n.),爪,Kralle,
grab,抓,krallen,
pluck (v.),采,auflesen,
pick (v.),採,pflücken,
vegetable,菜,Gemüse,
accept,受,annehmen,hinnehmen
confer,授,überreichen,verleihen
love (n./v.),愛,Liebe,
grand,雄,imposant,
platform,台,Plattform,
govern,治,regieren,
commence,始,beginnen,
go,去,gehen,
