one,一,eins,
ditch (n.),溝,Graben,
key,鑰,Schlüssel,
plead,籲,appellieren,
Vol.,冊,Buchband,
delete,刪,wegstreichen,
palisade,柵,Palisade,
coral,珊,Koralle,
everywhere,遍,überall,Mal
partial,偏,parteiisch,Neigung
sink (v.),淪,untergehen,
human relationships,倫,Ordnung der zwischenmenschlichen Beziehungen,
resist,抵,widerstehen,
hoodlum,氓,Gauner,
breastfeed,哺,füttern mit dem Mund,füttern
shop (n.),鋪,Laden,
supplement (v.),輔,coachen,beistehen
capture,捕,fassen,
apply,敷,etw. auftragen,mit etw. einreiben
river mouth,浦,Flussmündung,
cattail,蒲,Rohrkolben,
slight (adj.),薄,mager,
register (n.),簿,Verzeichnis,
mentor,傅,Mentor,
bind fast,縛,fesseln,
outer walls,郭,äußere Stadtmauer,
limitless,廓,Kontur,unbeschränkt
despicable,鄙,verachten,
Jerusalem,耶,Jerusalem,
grandfather,爺,Großvater,
outskirts,郊,Vorort,
nation,邦,Nation,
truss (v.),綁,zusammenbinden,fesseln
post (v.),郵,in die Post tun,
Deng,鄧,Deng,
hurl,擲,schmeißen,
hallway,廊,Korridor,
hug (v.),擁,umarmen,
satin,緞,Satin,
wily,刁,verschlagen,
hold in the mouth,叼,etw. mit dem Mund halten,
ardent,殷,tiefe Gefühle,leidenschaftlich
longevity,壽,langes Leben,
large waves,濤,Brandung,
cast (v.),鑄,Metall gießen,
pray,禱,beten,
make arrangements,籌,Vorkehrungen treffen,
attend to,伺,aufwarten,bedienen
rear (v.),飼,Tiere füttern,
liner,舶,Ozeandampfer,
navigate,航,navigieren,
light boat,艇,leichtes Boot,
warship,艦,Kriegsschiff,
ship‘s cabin,艙,Kabine,
along (prep.),沿,entlang,
lead (n.),鉛,Blei,
fox,狐,Fuchs,
petal,瓣,Blütenblatt,
brim over,溢,überlaufen,
spare time,暇,freie Zeit,
red sky,霞,Morgen- oder Abendrot,rosafarbene Wolken
oxygen,氧,Sauerstoff,
atmosphere,氛,Atmosphäre,
chlorine,氯,Chlor,
hydrogen,氫,Wasserstoff,
strengthen,鞏,festigen,konsolidieren
tyrant,霸,Tyrann,
dam (n.),壩,Damm,
tighten,勒,einschnüren,
bow respectfully,鞠,sich verneigen,
boots,靴,Stiefel,
whip (n./v.),鞭,Peitsche,
sprout (n.),芽,Spross,
surprised,訝,verblüfft,
prop up,撐,abstützen,stützen
polished,雅,vornehm,geschliffen
wicked,邪,pervers,anormal
of great depth,奧,abstrus,
deep inlet,澳,tiefe Bucht,
remorseful,懊,zerknirscht,
be informed,悉,informiert sein über,
pilfer,竊,stehlen,
painstaking,審,eingehend,sorgfältig
auntie,嬸,Tantchen,
blanket (n.),毯,Teppich,Decke
milli-,毫,Milli-,
consume,耗,verbrauchen,
till (v.),耕,beackern,
records,籍,Aufzeichnungen,
excuse (n.),藉,vorschützen,Ausrede
hold up,托,auf der Handfläche halten,
be afraid of,畏,vor jmdn. Ehrfurcht haben,
Hello…,喂,Hallo…,
bloated,脹,aufgebläht,
tent,帳,Zelt,
IV,肆,IV,
beard,鬍,Bart,
loose,鬆,locker,
roc,鵬,Roch,
twitter (v.),鳴,zwitschern,
swan,鴻,Schwan,
pigeon,鴿,Taube,
crane,鶴,Kranich,
oriole,鶯,Singvogel,Nachtigall
magpie,鵲,Elster,
gull,鷗,Möwe,
raven,鴉,Rabe,
goose,鵝,Gans,
crow,烏,Krähe,
zoom-zoom,嗚,Tut tut,
pound with a pestle,搗,in einem Mörser zerstoßen,
residence,寓,Unterkunft,
pea-brained,愚,blöde,
by chance,偶,zufällig,
stern,厲,sehr streng,
encourage,勵,ermutigen,anspornen
steel,鋼,Stahl,
hillock,崗,Anhöhe,
guidelines,綱,Leitlinie,Hauptleine
go against,逆,zuwiderlaufen,entgegengesetzt sein
go upstream,溯,stromaufwärts fahren,
plastic (n.),塑,Plastik,
vat,缸,Bottich,
jar,罐,Krug,
depressed,鬱,depressiv,
salt (n.),鹽,Salz,
salty,鹹,salzig,
draw out,掏,herausholen,
wash in a container,淘,in einem Behälter waschen,
pottery,陶,Keramik,
rumor,謠,Gerücht,
injustice,冤,Ungerechtigkeit,
gluttonous,饞,gefräßig,
tow (v.),挽,ziehen,aufrollen
strive,勉,sich bemühen,sich anstrengen
rubber tree,橡,Eichenbaum,
pleased,豫,zufrieden,erfreut
take flight,騰,emporsteigen,
numeral,碼,Nummernbezeichnung,Numerale
tame (adj./v.),馴,zähmen,
Mary,瑪,Marie,
be stationed,駐,stationiert sein,
arrogant,驕,arrogant,
gallop (v.),馳,galoppieren,
leech-hopper,螞,Gras-Egel,
proof,憑,Beleg,
maneuver (v.),駛,steuern,
disturb,騷,stören,
drive (v.),駕,lenken,
mule,騾,Maultier,
refute,駁,widerlegen,
rush (v.),闖,stürmen,
drive away,驅,vertreiben,
cheat (v.),騙,betrügen,
trot (v.),驟,traben,
hand over,遞,weitergeben,weiterreichen
take captive,虜,gefangennehmen,
despotic,虐,despotisch,
skin (n.),膚,Haut,
Louvre,盧,Louvre,
stove,爐,Kochstelle,
reeds,蘆,Schilf,
donkey,驢,Esel,
loss,虧,Einbuße,
filthy,污,schmutzig,dreckig
stunned,愕,erstaunt,
brag,誇,angeben,
collapse (v.),垮,zusammenbrechen,einstürzen
straddle (v.),跨,die Beine spreizen,
donate,獻,widmen,beitragen
melt,融,verschmelzen,integrieren
separate (v.),隔,trennen,
filter (v.),濾,filtern,
celebrate,慶,feiern,
recommend,薦,empfehlen,
outstanding,傑,überragend,herausragend
instant,瞬,Augenblick,
Chinese unicorn,麟,Chinesisches Einhorn,
pity (v.),憐,bemitleiden,
neighbor,鄰,Nachbar,
bask,曬,sich sonnen,
spill (v.),灑,verschütten,
cease,罷,aufhören,
put in order,擺,stellen,aufstellen
lips,唇,Lippe,
disgrace (n./v.),辱,Schande,
quake (v.),震,beben,
vibrate,振,vibrieren,
vigor,魄,Körperseele,
scholar tree,槐,Japanischer Schnurbaum,
enchant,魅,bezaubernd,charismatisch
marvelous,瑰,wunderbar,wunderschön
soul,魂,Seele,
ashamed,愧,beschämt,
leader,魁,Anführer,
ugly,醜,hässlich,
raised path between fields,壟,Feldrain,
dote on,寵,verwöhnen,
huge,龐,kolossal,
draw near,攏,sich nähern,
deaf,聾,taub,
cage (n.),籠,Käfig,
insert (v.),插,hineinstecken,
ruin (v.),毀,ruinieren,
mother‘s brother,舅,Bruder der Mutter,
stake (n.),樁,Pflock,
bore a hole,鑿,meißeln,ein Loch bohren
mouse,鼠,Maus,
scurry,竄,davonlaufen,
dried meat,臘,Pökelfleisch,
wax (n.),蠟,Wachs,
hunt (v.),獵,jagen,
vessels,艘,Wasserfahrzeug,
elder brother‘s wife,嫂,Frau des älteren Bruders,
emaciated,瘦,abgemagert,
search (v.),搜,durchsuchen,
unhulled rice,稻,ungeschälter Reis,
tread (v.),蹈,betreten,
surging,滔,durchfluten,Wellen schlagend
get stuck,陷,steckenbleiben,
flame (n.),焰,Flamme,
filling,餡,Füllung,
vehicles,輛,Fahrzeug,
dissemble,瞞,verheimlichen,
frank (adj.),爽,offenherzig,frank und frei
embellish,綴,verzieren,
bump (v.),碰,zusammenprallen,stoßen auf
transfer (v.),挪,verlegen,verschieben
charge falsely,誣,fälschlich beschuldigen,
reputation,譽,Ruf,
islet,嶼,kleine Insel,
thick-headed,傻,töricht,
brick,磚,Mauerziegel,
favor (n.),惠,Gefälligkeit,
ear of grain,穗,Ähre,
expansive,曠,großräumig,ausgedehnt
mine (n.),礦,Bergwerk,
enlarge,擴,vergrößern,
smart,聰,klug,hellhörig
onion,蔥,Zwiebel,
gall bladder,膽,Gallenblase,
look upward,瞻,nach oben schauen,
cuddle,摟,kuscheln,
time and again,屢,immer wieder,
turbid,濁,trübe,unrein
candle,燭,Kerze,
touch (v.),觸,berühren,
admonish,囑,ermahnen,
railing,欄,Geländer,
impede,攔,aufhalten,blockieren
tracks,蹤,Fußspur,
shrug (v.),聳,mit den Achseln zucken,
pharmaceutical (n.),劑,Pharmazeutikum,
abstain from food,齋,fasten,
squeeze (v.),擠,pressen,
push button (n.),鈕,Schalter,
shy,羞,schüchtern,
New York,纽,New York,
spleen,脾,Milz,
beer,啤,Bier,
stele,碑,Stele,
illustrious,赫,prominent,
terrify,嚇,erschrecken,
radiating vitality,奕,großartig,Kraft und Energie ausstrahlen
indication,跡,Fußabdruck,
phraseology,辭,Ausdrucksweise,
tortoise,龜,Schildkröte,
rope (n.),繩,Seil,
flies,蝇,Fliege,
butterfly (front end),蝴,Schmetterling (Vorderteil),
butterfly (back end),蝶,Schmetterling (Hinterteil),
spider (front end),蜘,Spinne (Vorderteil),
spider (back end),蛛,Spinne (Hinterteil),
camel (front end),駱,Kamel (Vorderteil),
camel (back end),駝,Kamel (Hinterteil),
dragonfly (front end),蜻,Libelle (Vorderteil),
dragonfly (back end),蜓,Libelle (Hinterteil),
male phoenix,鳳,Phönix (männlich),
female phoenix,凰,Phönix (weiblich),
olive (A),橄,Olive (A),
olive (B),欖,Olive (B),
glass (front side),玻,Glas (Vorderseite),
glass (back side),璃,Glas (Rückseite),
coffee (first drop),咖,Kaffee (erster Tropfen),
coffee (last drop),啡,Kaffee (letzter Tropfen),
grapes (A),葡,Weintraube (A),
grapes (B),萄,Weintraube (B),
in-,吩,in-,
-struct,咐,-struieren,
ping,乒,Ping,
pong,乓,Pong,
Cui,崔,Cui,
Cao,曹,Cao,
Liu,劉,Liu,
Pan,潘,Pan,
Liang,梁,Liang,
Shen,沈,Shen,
Zheng,鄭,Zheng,
Tam,譚,Tam,
Zhao,趙,Zhao,
Yao-2,姚,Yao-2,
Lu,魯,Lu,
Jiang-2,姜,Jiang-2,
Fan,范,Fan,
Xue,薛,Xue,
Tu,涂,Tu,
Peng,彭,Peng,
Yu-2,郁,Yu-2,
Feng,馮,Feng,
Wei,魏,Wei,
Yue,岳,Yue,
as though,彿,es scheint etw. zu sein,ähnlich
jasmine,莉,Jasmin,
Hunan Province,湘,Provinz Hunan,
outlying areas,甸,Außenbezirke,Umland
dark blue,滄,dunkelblau,
reverent,穆,ehrerbietig,
na,娜,na,Anna
fine jade,瓊,feine Jade,
gem,琳,Kleinod,
30 catties,鈞,30 Kätti,
Oh!,喲,Oha!,
cannon,砲,Kanone,
search for,蒐,Frühlingsjagd,sammeln
hibiscus,芙,Hibiskus,
cottonrose hibiscus,蓉,Mandel-Hibiskus,
biáng,𰻞,Biang,
jué,訣,Kniff,
tài,鈦,Titan,
zhì,痔,Hämorrhoiden,
xūn,熏,Speichern räuchern,
shǎng,晌,Tageszeit,Abschnitt des Tages
tǎng,淌,rinnen,triefen
gǒu,苟,fahrlässig,
suǒ,瑣,trivial,
gē,胳,obere Extremität,
kàng,炕,Kang,beheiztes Ziegelbett
dūn,墩,Erdhaufen,
ǎo,襖,gefütterte Jacke,gefütterte Joppe
àn,黯,düster,
yū,淤,Schlick,Schlamm
cí,雌,feminin,
lèng,愣,verdutzt,
shāo,捎,mitbringen,etw. beiläufig mitnehmen
nǐng,擰,körperlich kräftiges Drehen,wringen
cuō,搓,rubbeln,
gěng,梗,Strunk,
yí,怡,heiter,
qiào,峭,abschüssig,
wēng,嗡,summen,Schwirren
róng,熔,schmelzen,
wàn,蔓,Ranke,
liáng,粱,feine Hirse,
biē,憋,unterdrücken,
tì,屜,Schublade,
lǐn,凜,frostig,
Zhè,浙,Provinz Zhejiang,
kuà,挎,am Arm tragen,
lǎo,姥,Großmutter mütterlicherseits,
Shǎn,陕,Provinz Shaanxi,
léng,稜,Kante,
bēng,繃,straffen,strammziehen
lǚ,縷,Strähne,
juàn,絹,feste Seide,
è,扼,würgen,
chú,櫥,Schrank,
kuī,盔,Helm,
kē,磕,anstoßen,
xiāng,鑲,einfassen,einlegen
chóu,疇,die Flur,
péng,篷,Plane,
huō,豁,Lücke,
jiàn,澗,Klamm,
qiàn,嵌,einlegen,fest verankern
bó,膊,obere Extremität,
duò,舵,Steuerruder,
gài,鈣,Kalzium,
ài,隘,Pass,Engpass
ān,氨,Ammoniak,
hǔ,唬,bluffen,
lóng,朧,Erscheinung des Mondes,diesig
mó,蘑,Pilz (Kappe),
gū,菇,Pilz (Stiel),
jì,蹟,Wunder,
mà,螞,Grashüpfer (Vorderteil),
zhà,蚱,Grashüpfer (Hinterteil),
qí,麒,chinesisches Einhorn (Vorderteil),
lín,麟,chinesisches Einhorn (Hinterteil),
